country,location,incomebracket,epiranking,epi,envirohealth,ecosystemviability
158,2,0,129,47.85,26.26,62.24
159,0,0,119,50.83,45.00,54.71
160,2,2,121,49.88,46.21,52.33
161,2,1,125,49.54,51.02,48.56
162,0,0,159,41.78,38.25,44.14
163,5,2,57,62.49,62.51,62.48
164,1,3,35,67.36,81.44,57.96
165,0,1,58,62.35,81.12,49.83
166,3,2,108,52.96,71.56,40.57
167,2,2,38,66.10,73.53,61.15
168,0,0,145,44.28,33.64,51.38
169,3,1,109,52.87,64.44,45.16
170,4,3,77,58.90,67.88,52.92
171,3,3,6,79.89,96.03,69.13
172,1,3,27,71.19,93.91,56.04
173,1,3,47,64.65,84.72,51.27
174,2,1,136,45.88,50.67,42.69
175,5,1,144,44.55,50.46,40.61
176,1,2,51,63.89,75.74,55.99
177,2,1,132,46.96,47.12,46.86
178,0,1,117,50.97,31.57,63.91
179,0,1,149,43.41,40.58,45.30
